,question_id,stem,metas,answer,analysis,knowledge_point_ids
0,528156_kkwx,<p>“以身立教”“为人师表”体现了教师劳动的()特点。</p>,"[{""key"":""A"",""value"":""<p>示范性</p>""},{""key"":""B"",""value"":""<p>复杂性</p>""},{""key"":""C"",""value"":""<p>创造性</p>""},{""key"":""D"",""value"":""<p>劳动方式个体性</p>""}]","[""A""]",<p>略。</p>,[]
1,1016505834414768128,<p>德育途径是指实施德育的渠道。德育具有多种途径，其基本途径是( )</p>,"[{""key"":""A"",""value"":""思想品德课与其他学科教学""},{""key"":""B"",""value"":""班主任工作""},{""key"":""C"",""value"":""课外、校外活动""},{""key"":""D"",""value"":""社会实践活动""}]","[""A""]",<p>否</p>,[]
2,1016505834418962432,<p>教师指导学生参加实际活动，在实践中进行锻炼，以提高品德认识和实际活动能力，形成良好品德行为习惯的方法是( )</p>,"[{""key"":""A"",""value"":""说服法""},{""key"":""B"",""value"":""榜样法""},{""key"":""C"",""value"":""锻炼法""},{""key"":""D"",""value"":""表扬奖励与批评处分法""}]","[""C""]",<p>否</p>,[]
3,1016505834418962433,<p>“视其所以，观其所由，察其所安”所体现的德育原则是( )</p>,"[{""key"":""A"",""value"":""导向性原则""},{""key"":""B"",""value"":""疏导原则""},{""key"":""C"",""value"":""因材施教原则""},{""key"":""D"",""value"":""长善救失原则""}]","[""C""]",<p>否</p>,[]
4,1016505834423156736,<p>某班在“每月一星”的活动中，将表现好、进步大的学生的照片贴在“明星墙”上以示奖励，这样的方法是( )</p>,"[{""key"":""A"",""value"":""说服教育法""},{""key"":""B"",""value"":""品德评价法""},{""key"":""C"",""value"":""指导实践法""},{""key"":""D"",""value"":""情感陶冶法""}]","[""B""]",<p>否</p>,[]
5,1016505834423156737,<p>在德育过程中，教师充分利用学生的闪光点来克服他们的消极因素。这种教育方式遵循的原则是( )</p>,"[{""key"":""A"",""value"":""长善救失""},{""key"":""B"",""value"":""正面疏导""},{""key"":""C"",""value"":""知行统一""},{""key"":""D"",""value"":""从实际出发""}]","[""A""]",<p>否</p>,[]
6,1016505834423156738,<p>既强调说理教育，又强调建立健全学校的规章制度的德育原则是( )</p>,"[{""key"":""A"",""value"":""集体教育与个别教育相结合的原则""},{""key"":""B"",""value"":""知行统一的原则""},{""key"":""C"",""value"":""正面教育与纪律约束相结合的原则""},{""key"":""D"",""value"":""发挥积极因素与克服消极因素相结合的原则""}]","[""C""]",<p>否</p>,[]
7,1016505834427351040,<p>组织活动属于( )</p>,"[{""key"":""A"",""value"":""说服教育法""},{""key"":""B"",""value"":""榜样示范法""},{""key"":""C"",""value"":""实际锻炼法""},{""key"":""D"",""value"":""陶冶教育法""}]","[""C""]",<p>否</p>,[]
8,1016505834427351041,<p>“君子耻其言而过其行”“力行而近乎仁”体现的德育原则是( )</p>,"[{""key"":""A"",""value"":""正面教育与纪律约束相结合""},{""key"":""B"",""value"":""知行统一原则""},{""key"":""C"",""value"":""导向原则""},{""key"":""D"",""value"":""尊重信任与严格要求相结合原则""}]","[""B""]",<p>否</p>,[]
9,1016505834427351042,<p>“与善人居，如入芝兰之室，久而自芳也；与恶人居，如入鲍鱼之肆，久而自臭也。”的方法是( )</p>,"[{""key"":""A"",""value"":""说服教育法""},{""key"":""B"",""value"":""陶冶教育法""},{""key"":""C"",""value"":""榜样示范法""},{""key"":""D"",""value"":""实际锻炼法""}]","[""B""]",<p>否</p>,[]
