point_id,parent_id,point_title,system_title
1033552986056802304,0,教育学,教育学、心理学知识体系
1033553006670893056,0,心理学,教育学、心理学知识体系
1033554196700708864,0,生理学,生理学、病理解剖学知识体系
1033554223706918912,0,病理解剖学,生理学、病理解剖学知识体系
907109649603055616,0,听力选择,听力
907109649636610048,0,听力4级,听力
907109701350621184,907109649603055616,听力01,听力
907109701417730048,907109649603055616,听力02,听力
389745998213971977_wx,389746181299585024_wx,语文教学重难点的确定,教师资格初中语文知识点
389745998213971978_wx,389746181299585024_wx,语文教学方法的设计,教师资格初中语文知识点
389745998213971992_wx,389746181400248320_wx,语文教学评价的方式,教师资格初中语文知识点
389745998213971979_wx,389746181299585024_wx,语文教学内容的设计,教师资格初中语文知识点
389745998213971993_wx,389746181400248320_wx,学生学习评价,教师资格初中语文知识点
389745998213971980_wx,389746181299585024_wx,语文教学方案的设计,教师资格初中语文知识点
389745998213971994_wx,389746181400248320_wx,教师教学评价,教师资格初中语文知识点
389746181261836288_wx,0,语文教学设计,教师资格初中语文知识点
389745998213971981_wx,389746181320556544_wx,多媒体教学,教师资格初中语文知识点
389745998213971995_wx,389746181425414144_wx,教学案例评析,教师资格初中语文知识点
389746181274419200_wx,389746181261836288_wx,语文教学设计概述,教师资格初中语文知识点
389745998213971982_wx,389746181320556544_wx,语文教学与网络资源,教师资格初中语文知识点
389745998213971996_wx,389746181425414144_wx,学生作文评析,教师资格初中语文知识点
389746181299585024_wx,389746181261836288_wx,语文教学设计的主要内容,教师资格初中语文知识点
389745998213971983_wx,389746181349916672_wx,《义务教育语文课程标准》对语文教学实施的建议,教师资格初中语文知识点
389746181211504640_wx,0,语文学科知识,教师资格初中语文知识点
389746181320556544_wx,389746181261836288_wx,教学资源的合理开发和利用,教师资格初中语文知识点
389745998213971984_wx,389746181349916672_wx,识字与写字教学的实施,教师资格初中语文知识点
389746181228281856_wx,389746181211504640_wx,语文课程知识,教师资格初中语文知识点
389746181337333760_wx,0,语文教学实施,教师资格初中语文知识点
389745998213971985_wx,389746181349916672_wx,阅读教学的实施,教师资格初中语文知识点
389746181249253376_wx,389746181211504640_wx,汉语言基础知识,教师资格初中语文知识点
389746181349916672_wx,389746181337333760_wx,语文各模块的教学实施,教师资格初中语文知识点
389745998213971986_wx,389746181349916672_wx,写作教学的实施,教师资格初中语文知识点
389746181370888192_wx,389746181337333760_wx,语文课堂教学的组织和调控,教师资格初中语文知识点
389745998213971987_wx,389746181349916672_wx,口语交际教学的实施,教师资格初中语文知识点
389746181387665408_wx,0,语文教学评价,教师资格初中语文知识点
389745998213971988_wx,389746181349916672_wx,综合性学习的教学实施,教师资格初中语文知识点
389746181400248320_wx,389746181387665408_wx,语文教学评价概述,教师资格初中语文知识点
389745998213971989_wx,389746181370888192_wx,语文课堂教学的组织,教师资格初中语文知识点
389746181425414144_wx,389746181387665408_wx,案例评价,教师资格初中语文知识点
389745998213971990_wx,389746181370888192_wx,语文课堂教学的调控,教师资格初中语文知识点
389745998213971991_wx,389746181400248320_wx,《义务教育语文课程标准》对语文教学评价的建议,教师资格初中语文知识点
389745998213971968_wx,389746181228281856_wx,语文课程概述,教师资格初中语文知识点
389745998213971969_wx,389746181228281856_wx,初中语文教材,教师资格初中语文知识点
389745998213971970_wx,389746181249253376_wx,现代汉语,教师资格初中语文知识点
389745998213971971_wx,389746181249253376_wx,古代汉语,教师资格初中语文知识点
389745998213971972_wx,389746181249253376_wx,文学常识,教师资格初中语文知识点
389745998213971973_wx,389746181249253376_wx,阅读鉴赏,教师资格初中语文知识点
389745998213971974_wx,389746181274419200_wx,语文教学设计的概念和指导思想,教师资格初中语文知识点
389745998213971975_wx,389746181274419200_wx,语文教学设计的原则和依据,教师资格初中语文知识点
389745998213971976_wx,389746181299585024_wx,语文教学目标的设计,教师资格初中语文知识点
390179026367213573_wx,390179232534085632_wx,多项式,教师资格初中数学知识点
390179026367213574_wx,390179232534085632_wx,行列式,教师资格初中数学知识点
390179026367213577_wx,390179232534085632_wx,线性空间,教师资格初中数学知识点
390179026367213575_wx,390179232534085632_wx,矩阵,教师资格初中数学知识点
390179026367213578_wx,390179232534085632_wx,线性变换,教师资格初中数学知识点
